Tags,Ticket,Open Date,Close Date,Symbol,Action,Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Comment,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(GBP),Min(pips),Min(GBP),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(GBP)
,25036586,24/06/2016 09:24,24/06/2016 14:11,AUDCHF,Buy,0.01,0.00000,0.72304,0.72204,0.72304,0.0000,0.0000,10.0,0.75,0.00,"jay",0,00:04:46:37,14.0,40m,58.5,4.88,12.0,0.96,-58.5,-4.68,17.0,97.2,-2.00,-0.16
,25111636,24/06/2016 13:50,24/06/2016 13:56,AUDCHF,Buy,0.01,0.00000,0.00000,0.72108,0.72230,0.0000,0.0000,12.2,0.91,0.00,"jay",0,00:00:06:03,100.0,6m,3.8,0.08,12.2,0.854,0.0,0.0,100.0,100.0,0.00,0.00
,25048079,24/06/2016 10:01,24/06/2016 11:44,AUDCHF,Buy,0.01,0.00000,0.72120,0.72020,0.72122,0.0000,0.0000,10.2,0.75,0.00,"jay[tp]",0,00:01:42:58,12.7,13m,40.1,3.71,10.8,0.7560000000000001,-40.1,-2.8070000000000004,21.2,98.8,-0.60,-0.04
,25056359,24/06/2016 10:29,24/06/2016 10:45,AUDCHF,Buy,0.01,0.00000,0.72000,0.71860,0.72001,0.0000,0.0000,14.1,1.05,0.00,"jay[tp]",0,00:00:16:06,75.0,12m,9.0,0.38,16.1,1.1270000000000002,-6.1,-0.427,72.5,91.0,-2.00,-0.14
,25056322,24/06/2016 10:29,24/06/2016 10:44,AUDCHF,Buy,0.01,0.00000,0.71952,0.71852,0.71959,0.0000,0.0000,10.7,0.80,0.00,"jay[tp]",0,00:00:14:48,73.4,10m,9.0,0.50,10.7,0.749,-5.3,-0.371,66.9,100.0,0.00,0.00
,25047838,24/06/2016 10:00,24/06/2016 10:21,AUDCHF,Sell,0.01,0.00000,0.71665,0.71788,0.71662,0.0000,0.0000,12.6,0.95,0.00,"[tp]",0,00:00:21:36,42.9,9m,26.8,1.15,16.9,1.3519999999999999,-19.4,-1.5519999999999998,46.6,88.2,-4.30,-0.34
,25047874,24/06/2016 10:00,24/06/2016 10:14,AUDCHF,Sell,0.01,0.00000,0.71711,0.71811,0.71709,0.0000,0.0000,10.2,0.77,0.00,"jay[tp]",0,00:00:13:40,42.9,5m,26.8,1.29,13.3,1.064,-17.1,-1.368,43.7,89.8,-3.10,-0.25
,25048124,24/06/2016 10:01,24/06/2016 10:09,AUDCHF,Sell,0.01,0.00000,0.00000,0.71960,0.71852,0.0000,0.0000,10.8,0.81,0.00,"jay",0,00:00:08:07,87.5,7m,10.9,0.14,16.3,1.304,-2.2,-0.17600000000000002,88.1,70.3,-5.50,-0.44
,25048142,24/06/2016 10:01,24/06/2016 10:09,AUDCHF,Sell,0.01,0.00000,0.71875,0.71975,0.71865,0.0000,0.0000,11.0,0.83,0.00,"jay[tp]",0,00:00:07:57,87.5,6m,10.9,0.04,17.8,1.4240000000000002,-0.7,-0.055999999999999994,96.2,63.2,-6.80,-0.54
,25048153,24/06/2016 10:01,24/06/2016 10:09,AUDCHF,Sell,0.01,0.00000,0.71872,0.71972,0.71865,0.0000,0.0000,10.7,0.80,0.00,"jay[tp]",0,00:00:07:51,87.5,6m,10.9,0.06,17.5,1.225,-1.0,-0.07,94.6,63.2,-6.80,-0.48
,25042222,24/06/2016 09:40,24/06/2016 09:45,AUDCHF,Sell,0.01,0.00000,0.71790,0.71890,0.71790,0.0000,0.0000,10.0,0.75,0.00,"jay[tp]",0,00:00:05:26,100.0,5m,6.6,0.06,16.6,1.328,0.0,0.0,100.0,60.2,-6.60,-0.53
,24955307,24/06/2016 05:56,24/06/2016 09:24,AUDCHF,Buy Limit,0.01,0.00000,0.00000,0.70500,0.72161,0.0000,0.0000,0.0,0.00,0,"jet handsome",0,00:03:27:32,,,,,,,,,,,,
,25025945,24/06/2016 08:57,24/06/2016 09:24,AUDCHF,Buy Limit,0.01,0.00000,0.00000,0.71500,0.72150,0.0000,0.0000,0.0,0.00,0,"cancelled",0,00:00:26:37,,,,,,,,,,,,
,25025918,24/06/2016 08:57,24/06/2016 09:24,AUDCHF,Buy Limit,0.01,0.00000,0.00000,0.71500,0.72157,0.0000,0.0000,0.0,0.00,0,"cancelled",0,00:00:26:49,,,,,,,,,,,,
,24903384,24/06/2016 05:26,24/06/2016 09:22,AUDCHF,Buy,0.01,0.00000,0.00000,0.72091,0.72228,0.0000,0.0000,13.7,1.03,0.00,"jay",0,00:03:56:30,1.3,3m,101.7,7.42,13.7,1.0959999999999999,-101.7,-8.136000000000001,11.9,100.0,0.00,0.00
,25034035,24/06/2016 09:19,24/06/2016 09:20,AUDCHF,Buy,0.01,0.00000,0.72000,0.71762,0.72004,0.0000,0.0000,24.2,1.82,0.00,"jay[tp]",0,00:00:00:48,,,,,,,,,,,,
,25026573,24/06/2016 08:59,24/06/2016 09:04,AUDCHF,Buy,0.01,0.00000,0.72089,0.71989,0.72091,0.0000,0.0000,10.2,0.77,0.00,"jay[tp]",0,00:00:05:00,100.0,5m,0.4,0.10,10.2,0.816,0.0,0.0,100.0,100.0,0.00,0.00
,24598756,24/06/2016 05:38,24/06/2016 08:54,AUDCHF,Buy,0.01,0.00000,0.00000,0.71890,0.72010,0.0000,0.0000,12.0,0.91,0.00,"jay",0,00:03:16:12,1.6,3m,81.6,6.80,12.0,0.96,-81.6,-6.528,12.8,100.0,0.00,0.00
,24598732,24/06/2016 05:38,24/06/2016 08:54,AUDCHF,Buy,0.01,0.00000,0.00000,0.71890,0.72010,0.0000,0.0000,12.0,0.91,0.00,"jay",0,00:03:16:12,1.6,3m,81.6,6.80,12.0,0.96,-81.6,-6.528,12.8,100.0,0.00,0.00
,24598871,24/06/2016 05:38,24/06/2016 08:54,AUDCHF,Buy,0.01,0.00000,0.00000,0.71890,0.72010,0.0000,0.0000,12.0,0.91,0.00,"jay",0,00:03:16:11,1.6,3m,81.6,6.80,12.0,0.96,-81.6,-6.528,12.8,100.0,0.00,0.00
,24599026,24/06/2016 05:38,24/06/2016 08:54,AUDCHF,Buy,0.01,0.00000,0.00000,0.71890,0.72009,0.0000,0.0000,11.9,0.90,0.00,"jay",0,00:03:16:11,1.6,3m,81.6,6.86,11.9,0.9520000000000001,-81.6,-6.528,12.7,100.0,0.00,0.00
